baixo	50224
maior	50189
meio	50170
meses	49951
mau	49760
vê	48744
ouvi	48730
andar	48691
rápido	48635
número	48606
vejo	48440
mulheres	48323
morreu	48286
nenhuma	48230
acordo	47631
festa	47608
fazes	47485
capitão	47464
raio	47286
pais	47182
suficiente	46782
poderia	46672
sra.	46523
crianças	46450
estavam	46424
força	46344
muitos	46324
nesta	46217
presidente	46216
buscar	46195
filhos	46046
perder	45963
esperar	45714
viu	45703
irmã	45701
chega	45570
possível	45524
devias	45485
sai	45395
acabar	45328
rapazes	45181
precisas	45166
elas	45125
contar	45106
idiota	44911
olhar	44874
vossa	44852
teria	44675
foste	44577
estavas	44480
pena	44475
mil	44441
longe	44417
faça	43981
penso	43834
tivesse	43701
tuas	43583
pedir	43579
estranho	43506
importa	43472
fácil	43456
muita	43438
veio	43319
brincar	43210
bebé	43190
plano	43145
devo	42544
prazer	42516
velho	42402
conseguir	42290
passado	42087
tomar	42065
além	42025
jantar	41913
dá-me	41844
depressa	41624
pergunta	41524
tirar	41314
pequeno	40817
descobrir	40783
sala	40436
ah	40308
telefone	40267
trás	40236
seis	39970
culpa	39948
vos	39896
exactamente	39866
possa	39755
deixa	39728
errado	39687
vivo	39605
menina	39565
john	39542
casamento	39527
outras	39513
espere	39435
pensa	39341
jack	39310
nossas	39155
correr	39053
mudar	38981
diga	38943
paz	38785
sentir	38686
cama	38507
gostava	38473
sozinho	38458
pelos	38289
comida	38245
sequer	38174
falta	37969
ficou	37955
conheço	37890
gosta	37730
passou	37679
bastante	37552
deu	37551
provavelmente	37476
palavra	37450
demasiado	37434
diferente	37413
essas	37280
armas	37169
digo	37023
licença	36862
demais	36854
pagar	36833
médico	36748
seguir	36743
semanas	36681
consegues	36650
dizem	36601
matou	36586
único	36576
acreditar	36570
local	36471
fazem	36463
pior	36433
próprio	36430
continua	36405
vosso	36257
consegue	36026
fico	36021
diz-me	35872
país	35742
gostaria	35575
forte	35421
partir	35362
prisão	35259
próxima	35163
